step,KE,PE,total
180,2.61636e+06,-4.09239e+06,-1.47603e+06
181,2.62195e+06,-4.09812e+06,-1.47616e+06
182,2.62527e+06,-4.10117e+06,-1.4759e+06
183,2.62812e+06,-4.10358e+06,-1.47546e+06
184,2.63337e+06,-4.1088e+06,-1.47542e+06
185,2.64172e+06,-4.1173e+06,-1.47558e+06
186,2.65246e+06,-4.12818e+06,-1.47572e+06
187,2.66273e+06,-4.14016e+06,-1.47743e+06
188,2.66586e+06,-4.14166e+06,-1.4758e+06
189,2.66352e+06,-4.13857e+06,-1.47505e+06
190,2.66519e+06,-4.14027e+06,-1.47508e+06
191,2.67105e+06,-4.14654e+06,-1.47549e+06
192,2.67576e+06,-4.15171e+06,-1.47595e+06
193,2.67837e+06,-4.15393e+06,-1.47556e+06
194,2.6805e+06,-4.15704e+06,-1.47654e+06
195,2.67841e+06,-4.15431e+06,-1.4759e+06
196,2.67352e+06,-4.14881e+06,-1.47529e+06
197,2.67052e+06,-4.14592e+06,-1.4754e+06
198,2.66925e+06,-4.14455e+06,-1.47529e+06
199,2.66988e+06,-4.14491e+06,-1.47503e+06
200,2.67355e+06,-4.1487e+06,-1.47515e+06
201,2.6806e+06,-4.15543e+06,-1.47483e+06
202,2.68154e+06,-4.15638e+06,-1.47484e+06
203,2.67518e+06,-4.15245e+06,-1.47727e+06
204,2.66848e+06,-4.14445e+06,-1.47597e+06
205,2.66051e+06,-4.13583e+06,-1.47532e+06
206,2.65591e+06,-4.13125e+06,-1.47534e+06
207,2.65449e+06,-4.13016e+06,-1.47566e+06
208,2.65353e+06,-4.12932e+06,-1.47579e+06
209,2.65181e+06,-4.12744e+06,-1.47563e+06
210,2.65226e+06,-4.12717e+06,-1.47491e+06
211,2.64001e+06,-4.12202e+06,-1.482e+06
212,2.61807e+06,-4.09708e+06,-1.47901e+06
213,2.59442e+06,-4.07376e+06,-1.47934e+06
214,2.57057e+06,-4.04959e+06,-1.47903e+06
215,2.54643e+06,-4.0252e+06,-1.47877e+06
216,2.52329e+06,-4.00185e+06,-1.47855e+06
217,2.50182e+06,-3.98015e+06,-1.47834e+06
218,2.48274e+06,-3.96091e+06,-1.47818e+06
219,2.46724e+06,-3.94517e+06,-1.47792e+06
220,2.45744e+06,-3.93521e+06,-1.47777e+06
221,2.45116e+06,-3.93054e+06,-1.47939e+06
222,2.44042e+06,-3.92168e+06,-1.48126e+06
223,2.42034e+06,-3.89611e+06,-1.47577e+06
224,2.39537e+06,-3.87123e+06,-1.47585e+06
225,2.37633e+06,-3.85178e+06,-1.47545e+06
226,2.36337e+06,-3.84002e+06,-1.47665e+06
227,2.34573e+06,-3.8139e+06,-1.46818e+06
228,2.31707e+06,-3.78654e+06,-1.46947e+06
229,2.29572e+06,-3.76485e+06,-1.46913e+06
230,2.27684e+06,-3.74725e+06,-1.47041e+06
231,2.25363e+06,-3.72208e+06,-1.46845e+06
232,2.22756e+06,-3.69556e+06,-1.46801e+06
233,2.20793e+06,-3.67594e+06,-1.46801e+06
234,2.19377e+06,-3.66174e+06,-1.46797e+06
235,2.18489e+06,-3.65258e+06,-1.46769e+06
236,2.17801e+06,-3.64923e+06,-1.47122e+06
237,2.17565e+06,-3.64096e+06,-1.46531e+06
238,2.16426e+06,-3.63157e+06,-1.46731e+06
239,2.14706e+06,-3.61548e+06,-1.46841e+06
240,2.12949e+06,-3.59646e+06,-1.46697e+06
241,2.11247e+06,-3.57885e+06,-1.46639e+06
242,2.10149e+06,-3.56813e+06,-1.46664e+06
243,2.08821e+06,-3.55478e+06,-1.46657e+06
244,2.07246e+06,-3.53937e+06,-1.4669e+06
245,2.05902e+06,-3.52562e+06,-1.4666e+06
246,2.04783e+06,-3.51393e+06,-1.4661e+06
247,2.04093e+06,-3.5079e+06,-1.46697e+06
248,2.02917e+06,-3.48703e+06,-1.45786e+06
249,2.0111e+06,-3.46957e+06,-1.45847e+06
250,2.00565e+06,-3.46314e+06,-1.45749e+06
251,1.99592e+06,-3.46243e+06,-1.46651e+06
252,1.9865e+06,-3.44963e+06,-1.46313e+06
253,1.99951e+06,-3.4579e+06,-1.45839e+06
254,2.04684e+06,-3.44325e+06,-1.39641e+06
255,2.08145e+06,-3.41487e+06,-1.33342e+06
256,2.07934e+06,-3.37562e+06,-1.29628e+06
257,2.04439e+06,-3.33376e+06,-1.28937e+06
258,2.00888e+06,-3.30073e+06,-1.29184e+06
259,1.98747e+06,-3.27885e+06,-1.29139e+06
260,1.97557e+06,-3.26609e+06,-1.29051e+06
261,1.98897e+06,-3.27428e+06,-1.28532e+06
262,1.99975e+06,-3.25791e+06,-1.25815e+06
263,1.98446e+06,-3.23272e+06,-1.24826e+06
