step,KE,PE,total
377,13439.1,-25238.5,-11799.4
378,13522.2,-25321.8,-11799.6
379,13609.2,-25409.1,-11799.9
380,13697,-25497.5,-11800.4
381,13781.2,-25582.3,-11801.1
382,13855.7,-25657.4,-11801.8
383,13914.4,-25716.6,-11802.2
384,13953.8,-25756,-11802.2
385,13974.4,-25776.1,-11801.8
386,13979.9,-25781.1,-11801.2
387,13975.6,-25776.3,-11800.6
388,13966.9,-25767,-11800.1
389,13957.6,-25757.5,-11799.8
390,13950.2,-25749.9,-11799.7
391,13945.5,-25745.1,-11799.6
392,13944,-25743.5,-11799.5
393,13946,-25745.4,-11799.4
394,13952.1,-25751.3,-11799.3
395,13962.5,-25761.8,-11799.2
396,13977.9,-25777.1,-11799.2
397,13998.6,-25797.7,-11799.1
398,14025,-25824.1,-11799.1
399,14057.2,-25856.3,-11799.1
400,14094.7,-25893.9,-11799.2
401,14137.2,-25936.5,-11799.3
402,14183.9,-25983.2,-11799.3
403,14234.2,-26033.6,-11799.4
404,14287.5,-26086.9,-11799.4
405,14343.4,-26142.9,-11799.5
406,14401.4,-26201,-11799.5
407,14461.1,-26260.7,-11799.6
408,14521.5,-26321.2,-11799.7
409,14581.8,-26381.6,-11799.8
410,14641.3,-26441,-11799.8
411,14700.4,-26500.1,-11799.7
412,14759.9,-26559.6,-11799.7
413,14820.4,-26620.1,-11799.7
414,14881.6,-26681.4,-11799.8
415,14943,-26742.8,-11799.8
416,15004.2,-26804.1,-11799.9
417,15064.4,-26864.4,-11800
418,15122.1,-26922.3,-11800.2
419,15175.1,-26975.4,-11800.3
420,15222.5,-27022.6,-11800.1
421,15265.7,-27065.6,-11799.9
422,15307,-27106.8,-11799.8
423,15348.1,-27147.8,-11799.7
424,15389.5,-27189.2,-11799.7
425,15431.4,-27231.1,-11799.7
426,15473.7,-27273.4,-11799.7
427,15516.4,-27316.1,-11799.7
428,15559.8,-27359.4,-11799.7
429,15604,-27403.6,-11799.6
430,15649.1,-27448.8,-11799.6
431,15695.3,-27494.9,-11799.7
432,15742,-27541.7,-11799.7
433,15789.5,-27589.1,-11799.6
434,15838.1,-27637.7,-11799.6
435,15888.3,-27687.9,-11799.6
436,15939.9,-27739.6,-11799.6
437,15992.8,-27792.4,-11799.7
438,16046.5,-27846.2,-11799.7
439,16101.4,-27901.1,-11799.6
440,16157.7,-27957.4,-11799.6
441,16216.1,-28015.6,-11799.5
442,16277.4,-28077,-11799.6
443,16341.9,-28141.6,-11799.7
444,16408.7,-28208.6,-11799.9
445,16476.3,-28276.4,-11800
446,16543.1,-28343.3,-11800.2
447,16607.4,-28407.7,-11800.3
448,16668.4,-28468.7,-11800.3
449,16725.8,-28526.1,-11800.3
450,16780.4,-28580.5,-11800.1
451,16834,-28633.9,-11799.9
452,16889,-28688.6,-11799.6
453,16948.4,-28747.7,-11799.3
454,17015.7,-28814.7,-11799
455,17095.2,-28893.7,-11798.6
456,17192.2,-28990.2,-11798
457,17315.7,-29112.5,-11796.8
458,17482.7,-29277,-11794.3
459,17732.4,-29520.2,-11787.8
460,18177.5,-29943.5,-11765.9
461,19046.3,-30838,-11791.7
462,19114.7,-30770.4,-11655.7
463,18407.1,-30079.1,-11672
464,18147.4,-29838.7,-11691.3
465,18074.7,-29771.7,-11697
466,18093.1,-29792,-11699
467,18171.7,-29871.6,-11699.9
468,18299.3,-29999.9,-11700.7
469,18467.9,-30170.2,-11702.3
470,18662.5,-30368.3,-11705.8
471,18850.1,-30561.3,-11711.2
472,18985.6,-30700.2,-11714.6
473,19043.8,-30756,-11712.2
474,19044.3,-30751.8,-11707.5
475,19026.6,-30731.9,-11705.3
476,19010.2,-30716.9,-11706.6
477,18983,-30692.4,-11709.4
478,18922,-30631.5,-11709.5
479,18823.1,-30530.2,-11707.1
480,18704.3,-30408.9,-11704.6
481,18587,-30290,-11703
482,18484.1,-30186.3,-11702.3
483,18401.2,-30103.2,-11702
484,18340,-30041.9,-11701.9
485,18300.6,-30002.4,-11701.7
486,18283.9,-29985.4,-11701.4
487,18293.4,-29994.3,-11700.8
488,18337.3,-30037,-11699.7
489,18432.4,-30130.1,-11697.7
490,18602.6,-30301.2,-11698.6
491,18781.6,-30517.6,-11736
492,18758.4,-30476,-11717.7
493,18572.4,-30267.9,-11695.5
494,18435.6,-30133,-11697.5
495,18358.9,-30059.2,-11700.3
496,18308.4,-30010.6,-11702.2
497,18262,-29964.7,-11702.7
498,18212.2,-29914.4,-11702.2
499,18161.2,-29862.7,-11701.6
500,18113.8,-29814.7,-11701
501,18075.4,-29775.8,-11700.4
502,18051.5,-29751.6,-11700.1
503,18044.9,-29745,-11700.1
504,18056.7,-29756.8,-11700.1
505,18088.4,-29788.3,-11699.9
506,18144.2,-29843.6,-11699.3
507,18233.8,-29931.9,-11698.1
508,18377.3,-30073.1,-11695.8
509,18607.9,-30302.9,-11695
510,18897.1,-30624.2,-11727.1
511,18938,-30695.7,-11757.7
512,18655.9,-30356.7,-11700.8
