step,KE,PE,total
282,1.66011e+06,-2.98419e+06,-1.32408e+06
283,1.65616e+06,-2.98051e+06,-1.32435e+06
284,1.63719e+06,-2.96272e+06,-1.32553e+06
285,1.62829e+06,-2.9533e+06,-1.32501e+06
286,1.61661e+06,-2.94039e+06,-1.32378e+06
287,1.59602e+06,-2.92367e+06,-1.32765e+06
288,1.58604e+06,-2.91387e+06,-1.32783e+06
289,1.57822e+06,-2.90577e+06,-1.32755e+06
290,1.57357e+06,-2.90148e+06,-1.3279e+06
291,1.57941e+06,-2.88323e+06,-1.30382e+06
292,1.56694e+06,-2.85442e+06,-1.28748e+06
293,1.54874e+06,-2.83839e+06,-1.28966e+06
294,1.54846e+06,-2.83838e+06,-1.28991e+06
295,1.55062e+06,-2.84214e+06,-1.29152e+06
296,1.5528e+06,-2.84645e+06,-1.29365e+06
297,1.55937e+06,-2.82783e+06,-1.26847e+06
298,1.54932e+06,-2.8196e+06,-1.27028e+06
299,1.54686e+06,-2.81267e+06,-1.26582e+06
300,1.54572e+06,-2.81542e+06,-1.2697e+06
301,1.54665e+06,-2.81228e+06,-1.26563e+06
302,1.552e+06,-2.81952e+06,-1.26752e+06
303,1.55226e+06,-2.80433e+06,-1.25207e+06
304,1.534e+06,-2.7875e+06,-1.25351e+06
305,1.53059e+06,-2.78155e+06,-1.25096e+06
306,1.51967e+06,-2.78924e+06,-1.26957e+06
307,1.51904e+06,-2.78887e+06,-1.26984e+06
308,1.52243e+06,-2.77842e+06,-1.25599e+06
309,1.52272e+06,-2.768e+06,-1.24528e+06
310,1.52247e+06,-2.77134e+06,-1.24887e+06
311,1.52691e+06,-2.77616e+06,-1.24925e+06
312,1.53407e+06,-2.78333e+06,-1.24926e+06
313,1.52913e+06,-2.78091e+06,-1.25179e+06
314,1.52179e+06,-2.77102e+06,-1.24923e+06
315,1.51703e+06,-2.77139e+06,-1.25436e+06
316,1.51414e+06,-2.76035e+06,-1.24621e+06
317,1.51741e+06,-2.76056e+06,-1.24315e+06
318,1.53489e+06,-2.76708e+06,-1.23218e+06
319,1.55441e+06,-2.77411e+06,-1.21971e+06
320,1.54471e+06,-2.76873e+06,-1.22402e+06
321,1.51966e+06,-2.74308e+06,-1.22342e+06
322,1.51157e+06,-2.73591e+06,-1.22434e+06
323,1.50827e+06,-2.72986e+06,-1.22159e+06
324,1.50379e+06,-2.72518e+06,-1.22139e+06
325,1.49617e+06,-2.72273e+06,-1.22656e+06
326,1.48601e+06,-2.70906e+06,-1.22304e+06
327,1.479e+06,-2.70217e+06,-1.22317e+06
328,1.47875e+06,-2.70288e+06,-1.22414e+06
329,1.47996e+06,-2.70323e+06,-1.22327e+06
330,1.48264e+06,-2.70604e+06,-1.22339e+06
331,1.48873e+06,-2.71307e+06,-1.22434e+06
332,1.49373e+06,-2.71615e+06,-1.22242e+06
333,1.49408e+06,-2.72006e+06,-1.22598e+06
334,1.49728e+06,-2.71689e+06,-1.21961e+06
335,1.49717e+06,-2.71367e+06,-1.2165e+06
336,1.49674e+06,-2.70981e+06,-1.21307e+06
337,1.50428e+06,-2.71834e+06,-1.21405e+06
338,1.51795e+06,-2.73205e+06,-1.2141e+06
339,1.52867e+06,-2.72315e+06,-1.19448e+06
340,1.5326e+06,-2.72917e+06,-1.19657e+06
341,1.5421e+06,-2.74298e+06,-1.20089e+06
342,1.54874e+06,-2.74945e+06,-1.20072e+06
343,1.55478e+06,-2.75276e+06,-1.19798e+06
344,1.54596e+06,-2.73749e+06,-1.19154e+06
345,1.52799e+06,-2.72164e+06,-1.19365e+06
346,1.52156e+06,-2.71533e+06,-1.19377e+06
347,1.51996e+06,-2.71396e+06,-1.194e+06
348,1.52043e+06,-2.7149e+06,-1.19446e+06
349,1.52163e+06,-2.716e+06,-1.19437e+06
350,1.51765e+06,-2.70641e+06,-1.18876e+06
351,1.50959e+06,-2.69904e+06,-1.18945e+06
352,1.51122e+06,-2.70174e+06,-1.19052e+06
353,1.50799e+06,-2.69676e+06,-1.18878e+06
354,1.49995e+06,-2.68858e+06,-1.18863e+06
355,1.49989e+06,-2.68978e+06,-1.18989e+06
356,1.4999e+06,-2.68962e+06,-1.18972e+06
357,1.49449e+06,-2.68492e+06,-1.19043e+06
358,1.48682e+06,-2.6758e+06,-1.18898e+06
359,1.48042e+06,-2.66961e+06,-1.18919e+06
360,1.47674e+06,-2.66612e+06,-1.18938e+06
361,1.47414e+06,-2.66342e+06,-1.18928e+06
362,1.47243e+06,-2.66163e+06,-1.1892e+06
363,1.47257e+06,-2.66166e+06,-1.18909e+06
364,1.47645e+06,-2.66522e+06,-1.18876e+06
365,1.48519e+06,-2.6745e+06,-1.1893e+06
366,1.51197e+06,-2.6961e+06,-1.18413e+06
367,1.52872e+06,-2.68492e+06,-1.1562e+06
368,1.51474e+06,-2.67281e+06,-1.15807e+06
369,1.5069e+06,-2.6638e+06,-1.15691e+06
370,1.49889e+06,-2.65546e+06,-1.15657e+06
371,1.49564e+06,-2.65243e+06,-1.15679e+06
372,1.49629e+06,-2.65306e+06,-1.15677e+06
373,1.5005e+06,-2.65722e+06,-1.15672e+06
374,1.50861e+06,-2.66554e+06,-1.15693e+06
375,1.52011e+06,-2.67765e+06,-1.15753e+06
376,1.52528e+06,-2.68109e+06,-1.15582e+06
377,1.52192e+06,-2.67733e+06,-1.15541e+06
378,1.52217e+06,-2.67776e+06,-1.15558e+06
379,1.51964e+06,-2.67712e+06,-1.15747e+06
380,1.51326e+06,-2.6693e+06,-1.15604e+06
381,1.50837e+06,-2.66445e+06,-1.15608e+06
382,1.50595e+06,-2.66203e+06,-1.15608e+06
383,1.5053e+06,-2.66135e+06,-1.15605e+06
384,1.50617e+06,-2.66223e+06,-1.15607e+06
385,1.5098e+06,-2.66536e+06,-1.15555e+06
386,1.5301e+06,-2.67958e+06,-1.14947e+06
387,1.5505e+06,-2.67654e+06,-1.12604e+06
388,1.55456e+06,-2.68288e+06,-1.12832e+06
389,1.57164e+06,-2.70093e+06,-1.12929e+06
390,1.56898e+06,-2.70457e+06,-1.13558e+06
391,1.55105e+06,-2.68554e+06,-1.13449e+06
392,1.53791e+06,-2.67292e+06,-1.135e+06
393,1.52799e+06,-2.66237e+06,-1.13438e+06
394,1.5229e+06,-2.65707e+06,-1.13417e+06
395,1.52558e+06,-2.65934e+06,-1.13376e+06
396,1.5333e+06,-2.66962e+06,-1.13632e+06
397,1.54982e+06,-2.68617e+06,-1.13636e+06
398,1.56137e+06,-2.68877e+06,-1.1274e+06
399,1.55948e+06,-2.68626e+06,-1.12679e+06
400,1.56844e+06,-2.696e+06,-1.12755e+06
401,1.57121e+06,-2.70088e+06,-1.12968e+06
402,1.56278e+06,-2.69025e+06,-1.12747e+06
403,1.5536e+06,-2.68035e+06,-1.12675e+06
404,1.54975e+06,-2.67587e+06,-1.12612e+06
405,1.55845e+06,-2.68429e+06,-1.12584e+06
406,1.5655e+06,-2.69307e+06,-1.12757e+06
407,1.56523e+06,-2.69673e+06,-1.1315e+06
408,1.5677e+06,-2.69402e+06,-1.12632e+06
409,1.57065e+06,-2.69778e+06,-1.12714e+06
410,1.58016e+06,-2.70773e+06,-1.12757e+06
411,1.58029e+06,-2.71053e+06,-1.13025e+06
412,1.57395e+06,-2.70304e+06,-1.12909e+06
413,1.56874e+06,-2.69749e+06,-1.12876e+06
414,1.563e+06,-2.69207e+06,-1.12907e+06
415,1.56761e+06,-2.69482e+06,-1.12721e+06
416,1.5666e+06,-2.70432e+06,-1.13772e+06
417,1.56186e+06,-2.69822e+06,-1.13636e+06
418,1.55812e+06,-2.69434e+06,-1.13622e+06
419,1.55436e+06,-2.69073e+06,-1.13637e+06
420,1.55162e+06,-2.68745e+06,-1.13583e+06
421,1.55152e+06,-2.68728e+06,-1.13576e+06
422,1.55563e+06,-2.69147e+06,-1.13584e+06
423,1.56084e+06,-2.69767e+06,-1.13683e+06
424,1.56399e+06,-2.70157e+06,-1.13758e+06
425,1.57002e+06,-2.70604e+06,-1.13603e+06
426,1.57552e+06,-2.7126e+06,-1.13708e+06
427,1.58369e+06,-2.71963e+06,-1.13594e+06
428,1.59553e+06,-2.73167e+06,-1.13614e+06
429,1.58859e+06,-2.71374e+06,-1.12516e+06
430,1.56604e+06,-2.6934e+06,-1.12735e+06
431,1.55849e+06,-2.68627e+06,-1.12778e+06
432,1.55665e+06,-2.68456e+06,-1.12791e+06
433,1.55835e+06,-2.68639e+06,-1.12804e+06
434,1.56269e+06,-2.69091e+06,-1.12823e+06
435,1.56733e+06,-2.69667e+06,-1.12934e+06
436,1.56999e+06,-2.69777e+06,-1.12778e+06
437,1.57085e+06,-2.69899e+06,-1.12814e+06
438,1.57361e+06,-2.70204e+06,-1.12843e+06
439,1.57742e+06,-2.70485e+06,-1.12742e+06
440,1.58498e+06,-2.71191e+06,-1.12693e+06
441,1.58864e+06,-2.70842e+06,-1.11978e+06
442,1.58475e+06,-2.705e+06,-1.12025e+06
443,1.59021e+06,-2.71013e+06,-1.11992e+06
444,1.59574e+06,-2.72015e+06,-1.12441e+06
445,1.60167e+06,-2.72416e+06,-1.12249e+06
446,1.61357e+06,-2.73531e+06,-1.12174e+06
447,1.62659e+06,-2.75469e+06,-1.1281e+06
448,1.64089e+06,-2.76494e+06,-1.12405e+06
449,1.64358e+06,-2.76995e+06,-1.12637e+06
450,1.63122e+06,-2.75361e+06,-1.12239e+06
451,1.61351e+06,-2.73465e+06,-1.12114e+06
452,1.60201e+06,-2.72172e+06,-1.11971e+06
453,1.59746e+06,-2.71736e+06,-1.1199e+06
454,1.60174e+06,-2.72218e+06,-1.12043e+06
455,1.60895e+06,-2.73007e+06,-1.12113e+06
456,1.61579e+06,-2.73678e+06,-1.12099e+06
457,1.62055e+06,-2.74216e+06,-1.12162e+06
458,1.62263e+06,-2.74347e+06,-1.12084e+06
459,1.62545e+06,-2.74603e+06,-1.12058e+06
460,1.63028e+06,-2.75228e+06,-1.12201e+06
461,1.6319e+06,-2.75248e+06,-1.12058e+06
462,1.62917e+06,-2.74973e+06,-1.12056e+06
463,1.62844e+06,-2.74853e+06,-1.12009e+06
464,1.63168e+06,-2.75157e+06,-1.11989e+06
465,1.63978e+06,-2.76034e+06,-1.12056e+06
466,1.64873e+06,-2.76993e+06,-1.1212e+06
467,1.65717e+06,-2.7772e+06,-1.12002e+06
468,1.66512e+06,-2.78732e+06,-1.1222e+06
469,1.67615e+06,-2.7951e+06,-1.11895e+06
470,1.70167e+06,-2.81996e+06,-1.11829e+06
471,1.72205e+06,-2.8219e+06,-1.09985e+06
472,1.70998e+06,-2.82025e+06,-1.11027e+06
473,1.70651e+06,-2.81295e+06,-1.10644e+06
474,1.7093e+06,-2.81818e+06,-1.10888e+06
475,1.70796e+06,-2.81567e+06,-1.10772e+06
476,1.69443e+06,-2.79866e+06,-1.10423e+06
477,1.68315e+06,-2.78691e+06,-1.10376e+06
478,1.68383e+06,-2.7873e+06,-1.10347e+06
479,1.70812e+06,-2.80649e+06,-1.09837e+06
480,1.73367e+06,-2.79797e+06,-1.0643e+06
481,1.72924e+06,-2.79517e+06,-1.06593e+06
482,1.72588e+06,-2.79303e+06,-1.06714e+06
483,1.71889e+06,-2.78491e+06,-1.06603e+06
484,1.7053e+06,-2.76928e+06,-1.06399e+06
485,1.69036e+06,-2.75454e+06,-1.06418e+06
486,1.68337e+06,-2.74792e+06,-1.06455e+06
487,1.67839e+06,-2.74332e+06,-1.06494e+06
488,1.67287e+06,-2.73707e+06,-1.0642e+06
489,1.66997e+06,-2.7343e+06,-1.06433e+06
490,1.67443e+06,-2.73814e+06,-1.06371e+06
491,1.68782e+06,-2.75218e+06,-1.06437e+06
492,1.69233e+06,-2.74696e+06,-1.05463e+06
493,1.68155e+06,-2.73832e+06,-1.05676e+06
494,1.67819e+06,-2.73465e+06,-1.05645e+06
495,1.6754e+06,-2.73095e+06,-1.05554e+06
496,1.67252e+06,-2.72772e+06,-1.0552e+06
497,1.67668e+06,-2.73105e+06,-1.05437e+06
498,1.68068e+06,-2.74104e+06,-1.06036e+06
499,1.68163e+06,-2.73706e+06,-1.05543e+06
500,1.68137e+06,-2.73794e+06,-1.05657e+06
